ACCOUNT_CATEGORY,COUNT
"TWO-WHEELER LOAN, CONSUMER LOAN, CREDIT CARD, GOLD LOAN, AUTO LOAN, HOUSING LOAN, PERSONAL LOAN",4
"CREDIT CARD, PERSONAL LOAN, CONSUMER LOAN, GOLD LOAN, AUTO LOAN, TWO-WHEELER LOAN, HOUSING LOAN",3
"TWO-WHEELER LOAN, AUTO LOAN, CONSUMER LOAN, GOLD LOAN, CREDIT CARD, HOUSING LOAN, PERSONAL LOAN",3
"CONSUMER LOAN, GOLD LOAN, AUTO LOAN, TWO-WHEELER LOAN, PERSONAL LOAN, CREDIT CARD, HOUSING LOAN",3
"TWO-WHEELER LOAN, PERSONAL LOAN, CONSUMER LOAN, CREDIT CARD, AUTO LOAN, GOLD LOAN, HOUSING LOAN",3
"AUTO LOAN, HOUSING LOAN, CREDIT CARD, PERSONAL LOAN, TWO-WHEELER LOAN, CONSUMER LOAN, GOLD LOAN",3
"CREDIT CARD, AUTO LOAN, GOLD LOAN, CONSUMER LOAN, PERSONAL LOAN, HOUSING LOAN, TWO-WHEELER LOAN",3
"AUTO LOAN, HOUSING LOAN, PERSONAL LOAN, GOLD LOAN, CONSUMER LOAN, TWO-WHEELER LOAN, CREDIT CARD",3
"AUTO LOAN, CREDIT CARD, HOUSING LOAN, PERSONAL LOAN, TWO-WHEELER LOAN, CONSUMER LOAN",3
"HOUSING LOAN, CONSUMER LOAN, CREDIT CARD, GOLD LOAN, TWO-WHEELER LOAN, AUTO LOAN, PERSONAL LOAN",3
"AUTO LOAN, GOLD LOAN, TWO-WHEELER LOAN, PERSONAL LOAN, CREDIT CARD, CONSUMER LOAN",3
"CONSUMER LOAN, CREDIT CARD, AUTO LOAN, PERSONAL LOAN, HOUSING LOAN, TWO-WHEELER LOAN, GOLD LOAN",3
"GOLD LOAN, CONSUMER LOAN, CREDIT CARD, PERSONAL LOAN, TWO-WHEELER LOAN, HOUSING LOAN, AUTO LOAN",3
"GOLD LOAN, PERSONAL LOAN, AUTO LOAN, CONSUMER LOAN, TWO-WHEELER LOAN, CREDIT CARD, HOUSING LOAN",3
"GOLD LOAN, AUTO LOAN, CREDIT CARD, HOUSING LOAN, CONSUMER LOAN, PERSONAL LOAN, TWO-WHEELER LOAN",3
"HOUSING LOAN, GOLD LOAN, CONSUMER LOAN, AUTO LOAN, TWO-WHEELER LOAN, PERSONAL LOAN, CREDIT CARD",3
"HOUSING LOAN, GOLD LOAN, CREDIT CARD, PERSONAL LOAN, CONSUMER LOAN, TWO-WHEELER LOAN, AUTO LOAN",3
"PERSONAL LOAN, TWO-WHEELER LOAN, CONSUMER LOAN, GOLD LOAN, CREDIT CARD, HOUSING LOAN, AUTO LOAN",3
"GOLD LOAN, AUTO LOAN, CONSUMER LOAN, TWO-WHEELER LOAN, PERSONAL LOAN, CREDIT CARD, HOUSING LOAN",3
"CREDIT CARD, CONSUMER LOAN, AUTO LOAN, TWO-WHEELER LOAN, HOUSING LOAN, GOLD LOAN, PERSONAL LOAN",3
"GOLD LOAN, AUTO LOAN, PERSONAL LOAN, TWO-WHEELER LOAN, CREDIT CARD, HOUSING LOAN, CONSUMER LOAN",3
"TWO-WHEELER LOAN, CONSUMER LOAN, PERSONAL LOAN, AUTO LOAN, HOUSING LOAN, CREDIT CARD, GOLD LOAN",3
"TWO-WHEELER LOAN, AUTO LOAN, PERSONAL LOAN, HOUSING LOAN, CREDIT CARD, CONSUMER LOAN, GOLD LOAN",3
"PERSONAL LOAN, CONSUMER LOAN, AUTO LOAN, TWO-WHEELER LOAN, CREDIT CARD, GOLD LOAN, HOUSING LOAN",3
"CONSUMER LOAN, PERSONAL LOAN, CREDIT CARD, TWO-WHEELER LOAN, HOUSING LOAN, GOLD LOAN, AUTO LOAN",3
"CONSUMER LOAN, CREDIT CARD, PERSONAL LOAN, GOLD LOAN, HOUSING LOAN, TWO-WHEELER LOAN, AUTO LOAN",3
"CREDIT CARD, GOLD LOAN, AUTO LOAN, CONSUMER LOAN, PERSONAL LOAN, HOUSING LOAN, TWO-WHEELER LOAN",3
"TWO-WHEELER LOAN, CREDIT CARD, GOLD LOAN, AUTO LOAN, PERSONAL LOAN, HOUSING LOAN, CONSUMER LOAN",3
"GOLD LOAN, TWO-WHEELER LOAN, PERSONAL LOAN, HOUSING LOAN, CREDIT CARD, CONSUMER LOAN, AUTO LOAN",3
"GOLD LOAN, PERSONAL LOAN, HOUSING LOAN, TWO-WHEELER LOAN, CREDIT CARD, CONSUMER LOAN, AUTO LOAN",3
"CONSUMER LOAN, PERSONAL LOAN, AUTO LOAN, HOUSING LOAN, TWO-WHEELER LOAN, CREDIT CARD",3
"TWO-WHEELER LOAN, HOUSING LOAN, PERSONAL LOAN, CREDIT CARD, GOLD LOAN, CONSUMER LOAN, AUTO LOAN",2
"CONSUMER LOAN, AUTO LOAN, HOUSING LOAN, GOLD LOAN, TWO-WHEELER LOAN, CREDIT CARD",2
"CREDIT CARD, CONSUMER LOAN, PERSONAL LOAN, HOUSING LOAN, GOLD LOAN, AUTO LOAN, TWO-WHEELER LOAN",2
"CREDIT CARD, GOLD LOAN, PERSONAL LOAN, TWO-WHEELER LOAN, AUTO LOAN, HOUSING LOAN, CONSUMER LOAN",2
"HOUSING LOAN, CREDIT CARD, PERSONAL LOAN, TWO-WHEELER LOAN, GOLD LOAN, CONSUMER LOAN, AUTO LOAN",2
"HOUSING LOAN, AUTO LOAN, GOLD LOAN, CONSUMER LOAN, TWO-WHEELER LOAN, PERSONAL LOAN, CREDIT CARD",2
"HOUSING LOAN, CREDIT CARD, GOLD LOAN, TWO-WHEELER LOAN, AUTO LOAN",2
"TWO-WHEELER LOAN, HOUSING LOAN, CONSUMER LOAN, GOLD LOAN, PERSONAL LOAN, AUTO LOAN, CREDIT CARD",2
"HOUSING LOAN, AUTO LOAN, CREDIT CARD, GOLD LOAN, CONSUMER LOAN, TWO-WHEELER LOAN, PERSONAL LOAN",2
"TWO-WHEELER LOAN, HOUSING LOAN, CONSUMER LOAN, AUTO LOAN, GOLD LOAN, PERSONAL LOAN, CREDIT CARD",2
"GOLD LOAN, AUTO LOAN, CONSUMER LOAN, CREDIT CARD, PERSONAL LOAN",2
"GOLD LOAN, CONSUMER LOAN, HOUSING LOAN, AUTO LOAN, TWO-WHEELER LOAN, PERSONAL LOAN, CREDIT CARD",2
"HOUSING LOAN, TWO-WHEELER LOAN, CONSUMER LOAN, GOLD LOAN, PERSONAL LOAN, CREDIT CARD, AUTO LOAN",2
"HOUSING LOAN, GOLD LOAN, AUTO LOAN, CREDIT CARD, TWO-WHEELER LOAN, CONSUMER LOAN, PERSONAL LOAN",2
"CONSUMER LOAN, TWO-WHEELER LOAN, AUTO LOAN, CREDIT CARD, HOUSING LOAN, PERSONAL LOAN, GOLD LOAN",2
"GOLD LOAN, CREDIT CARD, HOUSING LOAN, TWO-WHEELER LOAN, AUTO LOAN, CONSUMER LOAN, PERSONAL LOAN",2
"GOLD LOAN, TWO-WHEELER LOAN, AUTO LOAN, HOUSING LOAN, CREDIT CARD, PERSONAL LOAN",2
"GOLD LOAN, PERSONAL LOAN, CONSUMER LOAN, HOUSING LOAN, AUTO LOAN, TWO-WHEELER LOAN",2
"HOUSING LOAN, PERSONAL LOAN, AUTO LOAN, CREDIT CARD, TWO-WHEELER LOAN, GOLD LOAN, CONSUMER LOAN",2
